Question 	Potentially_Pejorative
当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？	Potentially
做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？	Potentially
如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？	Potentially
是不是男生都觉得男男同性恋很恶心？	Potentially
作为一名性少数者，你有想哭的时候吗？	Potentially
为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？	Potentially
为什么被称“贤惠”会很气愤？	Potentially
怕因生孩子而耽误事业的女性，她们的事业有多好？	Potentially
婚姻给了你什么样的勇气去当家庭主妇？	Potentially
为什么有些女生会反感「贤惠」这个词？	Potentially
面对性少数（LGBT）群体的平权运动，我们应该有什么样的态度？	Potentially
关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？	Potentially
同性恋会觉得双性恋恶心吗?	Potentially
同性恋真的完完全全是正常的吗？	Potentially
三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？	Potentially
你希望自己女朋友的工作职业是什么？	Potentially
想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？	Potentially
女同性恋如何做到 30 岁以后的生活不可悲？	Potentially
同性恋真的让人觉得很恶心吗？	Potentially
如何看待高学历女性成为全职家庭主妇？	Potentially
本人女，想转行去学UI设计，请问就业前景怎么样？	Potentially
大学女生成绩普遍比男生好吗，为什么？	Potentially
如何判断一个妹子是不是女同/双性恋？	Potentially
要求20多岁的女生贤惠，现实吗？	Potentially
如何看待女同性恋中的T?	Potentially
人生目标是做家庭主妇很丢人吗	Potentially
有同性恋可以说说自己的故事吗？	Potentially
为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？	Potentially
有什么辨别les的方法吗？	Potentially
为什么黑人的外貌不符合大部分中国人的审美？	Potentially
你们觉得亚裔在美国是处在种族歧视中的最底层吗？	Potentially
日本人是怎么看待中国人的？	Potentially
有一个蒙古族男朋友是什么体验？	Potentially
为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？	Potentially
你有被人地域歧视的经历吗？	Potentially
白人女性是不是很美，为什么?	Potentially
日韩人民是否歧视黑人或有偏见？	Potentially
在歧视亚裔或华人问题上，是欧洲严重还是美国严重，各有什么特点？	Potentially
为什么印度人在硅谷如日中天，华人却很难混入高层？	Potentially
中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?	Potentially
美国只有「黑命贵」，没有「印第安命贵」吗？为什么？	Potentially
现今中国人的种族歧视严重吗？	Potentially
蒙古国女人好看吗？	Potentially
为什么国人普遍接受不了中国女孩和非洲男孩在一起?	Potentially
你身边的日本朋友都是怎样的人？	Potentially
南京人怎么看待日本以及日本人？	Potentially
为什么中国有这么多人厌恶韩国人？	Potentially
为什么一些人觉得白人比黑人好看？这种审美观的形成与潜在种族歧视有关吗？	Potentially
作为一名蒙古族，不会说蒙语是什么感受？	Potentially
和壮族人交流有哪些忌讳？	Potentially
如何看待外国人因中国人以白为美而认为中国种族歧视？	Potentially
日本人知道自己被称为「日本鬼子」「鬼子」「小日本」吗？	Potentially
如何看待美国两个月报告 503 起仇恨亚裔事件？出现这种情况的原因可能是什么？	Potentially
如何看待美国黑人男子在上海商场疯狂辱骂中国人二十多分钟？	Potentially
我国最文明最先进的民族是白族？	Potentially
亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？	Potentially
为什么肤白会成为美女标准？	Potentially
维族同胞的体味是遗传的还是后天饮食习惯造成的？	Potentially
回族姑娘怎么样？	Potentially
如何看待美国教授因说中文「内个」，被称冒犯黑人而遭到停课处分？	Potentially
蒙古族人和汉族人会拥有爱情吗？	Potentially
请问维吾尔族男孩子的性格一般是怎样的呢？	Potentially
为什么在中国不会出现明显的种族歧视，而会出现较严重的地域偏见？	Potentially
如何看待杨安泽带妻儿外出购物被美国人歧视，发文称「作为亚裔感到羞耻」？	Potentially
请问你身边的白族人给你的印象怎样？	Potentially
如何看待一些华裔外国人认为自己只是亚裔而不是华裔？	Potentially
如何看待美国黑人军官被两名白人警察拦下殴打、喷辣椒水？	Potentially
亚裔在美国受到的歧视是否比黑人还严重？为何亚裔能够发展起来，而且亚裔平均收入比其他族裔还高？	Potentially
为什么现实里面日本人说话很委婉，甚至觉得中国人普通交流都像骂人？	Potentially
日本人能大致看懂中文吗？	Potentially
中国其他民族怎么评价白族(谢谢)?	Potentially
大家对潮汕人的印象是什么？	Potentially
作为一个沪漂，哪一瞬间被上海人震惊到了？	Potentially
和上海人一起工作要注意什么？	Potentially
我想知道你们对上海人的评价是怎样的？	Potentially
怎么看待东北人？	Potentially
最近知乎/微博上有很多人在不断的控诉东北的社会现象和东北人，对此你怎么看？	Potentially
东北人怎么看待东北？	Potentially
上海的地域歧视有多严重？	Potentially
潮汕人给你的感觉是什么样子的？	Potentially
上海人真的都比较有钱吗？	Potentially
外省人怎么看待浙江人?	Potentially
为什么最近一年河南人的口碑突然变好了？	Potentially
浙江对中西部省份的歧视为什么那么严重？	Potentially
浙江会在不久未来下落到第二梯队吗？	Potentially
浙江的地域歧视严重吗？	Potentially
你眼中的上海人是什么样的？	Potentially
东北人在南方好混吗？	Potentially
大家有亲身经历过地域歧视吗?	Potentially
如何看待地域歧视或地域偏见？	Potentially
东北人脾气真的有那么暴躁吗？	Potentially
网上各种黑东北，怎样和东北人相处？	Potentially
为什么我周围的绝大多数东北人的家境都比我好，有些甚至好特别多?	Potentially
坊间都说潮汕人善于经商，是真的吗？有何体现？	Potentially
河南人为什么被称作中国的吉普赛人？	Potentially
中国被地域歧视黑的最严重的地方是哪里？	Potentially
我不知道为什么总有很多人骂河南人，到底河南人惹了你们什么地方了？河南人跟你们有仇吗？	Potentially
浙江人为什么大多只和本省的人结婚？	Potentially
河南人的风评为什么一直不高？	Potentially
护理专业的学生不想当护士怎么办？	Potentially
“农民工”，“新生代农民工”的称呼是否具有歧视性？	Potentially
我成为程序员后感觉情商变低，怎么办？	Potentially
为什么「工人」和「农民」成了不体面的代名词？	Potentially
人大代表建议倡导媒体不使用「农民工」等语言，「农民工」这一称谓是否存在歧视性？	Potentially
你为什么热爱护士这份职业?	Potentially
我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？	Potentially
2020 年北京市外来新生代农民工监测报告发布，报告显示从事信息软件相关人群占比大幅提高，意味着什么？	Potentially
为什么我们总是普遍一边宣扬职业平等，反对社会达尔文，而一边又鼓励孩子好好学习，找一个好工作？	Potentially
德国工厂的工人为什么愿意在同一家工厂里干一辈子直到退休？	Potentially
本科护理毕业的护士真的是最不好的职业吗？	Potentially
大理白族人很暴躁吗？	Potentially
请问有回族人念书只能念完小学的规定吗？	Potentially
为什么男性同性恋更易感染艾滋病？	Potentially
美国的「黑命贵」是怎样一种情况？	Potentially
日本老师几乎每节课都要大骂中国，作为中国留学生该怎么办？	Potentially
黑人在美国是被歧视还是优待的?	Potentially
在美国遇到对中国人的种族歧视怎么优雅的怼回去？	Potentially
为什么外蒙对中国人不友好？	Potentially
江西人马上去浙江读书，学校里90%都是浙江人 浙江人会有地域歧视吗看不起江西人吗 有点害怕?	Potentially
如何看待职业歧视？有办法解决吗？	Potentially
